117.21	0	0
117.21	0	0
117.21	0	0
117.21	0	0
117.21	0	0
117.21	0	0
117.21	0	0
117.21	0	0
117.21	0	0
117.21	0	0
117.22	0	0
117.22	0	0
117.22	0	0
117.22	0	0
117.22	0	0
117.22	0	0
117.22	0	0
117.22	0	0
117.22	0	0
117.22	0	0
117.22	0	0
117.22	0	0
117.22	0	0
117.22	0	0
117.22	0	0
117.22	0	0
117.22	0	0
117.22	0	0
117.22	0	0
117.23	0	0
117.23	0	0
117.23	0	0
117.23	0	0
117.23	0	0
117.23	0	0
117.23	0	0
117.23	0	0
117.23	0	0
117.23	0	0
117.23	0	0
117.23	0	0
117.23	0	0
117.23	0	0
117.23	0	0
117.23	0	0
117.23	0	0
117.23	0	0
117.23	0	0
117.23	0	0
117.24	0	0
117.24	0	0
117.24	0	0
117.24	0	0
117.24	0	0
117.24	0	0
117.24	0	0
117.24	0	0
117.24	0	0
117.24	0	0
117.24	0	0
117.24	0	0
117.24	0	0
117.24	0	0
117.24	0	0
117.24	0	0
117.24	0	0
117.24	0	0
117.24	0	0
117.25	0	0
117.25	0	0
117.25	0	0
117.25	0	0
117.25	0	0
117.25	0	0
117.25	0	0
117.25	0	0
117.25	0	0
117.25	0	0
117.25	0	0
117.25	0	0
117.25	0	0
117.25	0	0
117.25	0	0
117.25	0	0
117.25	0	0
117.25	0	0
117.25	0	0
117.26	0	0
117.26	0	0
117.26	0	0
117.26	0	0
117.26	0	0
117.26	0	0
117.26	0	0
117.26	0	0
117.26	0	0
117.26	0	0
117.26	0	0
117.26	0	0
117.26	0	0
117.26	0	0
117.26	0	0
117.26	0	0
117.26	0	0
117.26	0	0
117.26	0	0
117.27	0	0
117.27	0	0
117.27	0	0
117.27	0	0
117.27	0	0
117.27	0	0
117.27	0	0
117.27	0	0
117.27	0	0
117.27	0	0
117.27	0	0
117.27	0	0
117.27	0	0
117.27	0	0
117.27	0	0
117.27	0	0
117.27	0	0
117.27	0	0
117.27	0	0
117.28	0	0
117.28	0	0
117.28	0	0
117.28	0	0
117.28	0	0
117.28	0	0
117.28	0	0
117.28	0	0
117.28	0	0
117.28	0	0
117.28	0	0
117.28	0	0
117.28	0	0
117.28	0	0
117.28	0	0
117.28	0	0
117.28	0	0
117.28	0	0
117.28	0	0
117.28	0	0
117.29	0	0
117.29	0	0
117.29	0	0
117.29	0	0
117.29	0	0
117.29	0	0
117.29	0	0
117.29	0	0
117.29	0	0
117.29	0	0
117.29	0	0
117.29	0	0
117.29	0	0
117.29	0	0
117.29	0	0
117.29	0	0
117.29	0	0
117.29	0	0
117.29	0	0
117.3	0	0
117.3	0	0
117.3	0	0
117.3	0	0
117.3	0	0
117.3	0	0
117.3	0	0
117.3	0	0
117.3	0	0
117.3	0	0
117.3	0	0
117.3	0	0
117.3	0	0
117.3	0	0
117.3	0	0
117.3	0	0
117.3	0	0
117.3	0	0
117.3	0	0
117.31	0	0
117.31	0	0
117.31	0	0
117.31	0	0
117.31	0	0
117.31	0	0
117.31	0	0
117.31	0	0
117.31	0	0
117.31	0	0
117.31	0	0
117.31	0	0
117.31	0	0
117.31	0	0
117.31	0	0
117.31	0	0
117.31	0	0
117.31	0	0
117.31	0	0
117.31	0	0
117.32	0	0
117.32	0	0
117.32	0	0
117.32	0	0
117.32	0	0
117.32	0	0
117.32	0	0
117.32	0	0
117.32	0	0
117.32	0	0
117.32	0	0
117.32	0	0
117.32	0	0
117.32	0	0
117.32	0	0
117.32	0	0
117.32	0	0
117.32	0	0
117.32	0	0
117.33	0	0
117.33	0	0
117.33	0	0
117.33	0	0
117.33	0	0
117.33	0	0
117.33	0	0
117.33	0	0
117.33	0	0
117.33	0	0
117.33	0	0
117.33	0	0
117.33	0	0
117.33	0	0
117.33	0	0
117.33	0	0
117.33	0	0
117.33	0	0
117.33	0	0
117.34	0	0
117.34	0	0
117.34	0	0
117.34	0	0
117.34	0	0
117.34	0	0
117.34	0	0
117.34	0	0
117.34	0	0
117.34	0	0
117.34	0	0
117.34	0	0
117.34	0	0
117.34	0	0
117.34	0	0
117.34	0	0
117.34	0	0
117.34	0	0
117.34	0	0
117.35	0	0
117.35	0	0
117.35	0	0
117.35	0	0
117.35	0	0
117.35	0	0
117.35	0	0
117.35	0	0
117.35	0	0
117.35	0	0
117.35	0	0
117.35	0	0
117.35	0	0
117.35	0	0
117.35	0	0
117.35	0	0
117.35	0	0
117.35	0	0
117.35	0	0
117.36	0	0
117.36	0	0
117.36	0	0
117.36	0	0
117.36	0	0
117.36	0	0
117.36	0	0
117.36	0	0
117.36	0	0
117.36	0	0
117.36	0	0
117.36	0	0
117.36	0	0
117.36	0	0
117.36	0	0
117.36	0	0
117.36	0	0
117.36	0	0
117.36	0	0
117.36	0	0
117.37	0	0
117.37	0	0
117.37	0	0
117.37	0	0
117.37	0	0
117.37	0	0
117.37	0	0
117.37	0	0
117.37	0	0
117.37	0	0
117.37	0	0
117.37	0	0
117.37	0	0
117.37	0	0
117.37	0	0
117.37	0	0
117.37	0	0
117.37	0	0
117.37	0	0
117.38	0	0
117.38	0	0
117.38	0	0
117.38	0	0
117.38	0	0
117.38	0	0
117.38	0	0
117.38	0	0
117.38	0	0
117.38	0	0
117.38	0	0
117.38	0	0
117.38	0	0
117.38	0	0
117.38	0	0
117.38	0	0
117.38	0	0
117.38	0	0
117.38	0	0
117.39	0	0
117.39	0	0
117.39	0	0
117.39	0	0
117.39	0	0
117.39	0	0
117.39	0	0
117.39	0	0
117.39	0	0
117.39	0	0
117.39	0	0
117.39	0	0
117.39	0	0
117.39	0	0
117.39	0	0
117.39	0	0
117.39	0	0
117.39	0	0
117.39	0	0
117.39	0	0
117.4	0	0
117.4	0	0
117.4	0	0
117.4	0	0
117.4	0	0
117.4	0	0
117.4	0	0
117.4	0	0
117.4	0	0
117.4	0	0
117.4	0	0
117.4	0	0
117.4	0	0
117.4	0	0
117.4	0	0
117.4	0	0
117.4	0	0
117.4	0	0
117.4	0	0
117.41	0	0
117.41	0	0
117.41	0	0
117.41	0	0
117.41	0	0
117.41	0	0
117.41	0	0
117.41	0	0
117.41	0	0
117.41	0	0
117.41	0	0
117.41	0	0
117.41	0	0
117.41	0	0
117.41	0	0
117.41	0	0
117.41	0	0
117.41	0	0
117.41	0	0
117.42	0	0
117.42	0	0
117.42	0	0
117.42	0	0
117.42	0	0
117.42	0	0
117.42	0	0
117.42	0	0
117.42	0	0
117.42	0	0
117.42	0	0
117.42	0	0
117.42	0	0
117.42	0	0
117.42	0	0
117.42	0	0
117.42	0	0
117.42	0	0
117.42	0	0
117.43	0	0
117.43	0	0
117.43	0	0
117.43	0	0
117.43	0	0
117.43	0	0
117.43	0	0
117.43	0	0
117.43	0	0
117.43	0	0
117.43	0	0
117.43	0	0
117.43	0	0
117.43	0	0
117.43	0	0
117.43	0	0
117.43	0	0
117.43	0	0
117.43	0	0
117.43	0	0
117.44	0	0
117.44	0	0
117.44	0	0
117.44	0	0
117.44	0	0
117.44	0	0
117.44	0	0
117.44	0	0
117.44	0	0
117.44	0	0
117.44	0	0
117.44	0	0
117.44	0	0
117.44	0	0
117.44	0	0
117.44	0	0
117.44	0	0
117.44	0	0
117.44	0	0
117.45	0	0
117.45	0	0
117.45	0	0
117.45	0	0
117.45	0	0
117.45	0	0
117.45	0	0
117.45	0	0
117.45	0	0
117.45	0	0
117.45	0	0
117.45	0	0
117.45	0	0
117.45	0	0
117.45	0	0
117.45	0	0
117.45	0	0
117.45	0	0
117.45	0	0
117.46	0	0
117.46	0	0
117.46	0	0
117.46	0	0
117.46	0	0
117.46	0	0
117.46	0	0
117.46	0	0
117.46	0	0
117.46	0	0
117.46	0	0
117.46	0	0
117.46	0	0
117.46	0	0
117.46	0	0
117.46	0	0
117.46	0	0
117.46	0	0
117.46	0	0
117.47	0	0
117.47	0	0
117.47	0	0
117.47	0	0
117.47	0	0
117.47	0	0
117.47	0	0
117.47	0	0
117.47	0	0
117.47	0	0
117.47	0	0
117.47	0	0
117.47	0	0
117.47	0	0
117.47	0	0
117.47	0	0
117.47	0	0
117.47	0	0
117.47	0	0
117.47	0	0
117.48	0	0
117.48	0	0
117.48	0	0
117.48	0	0
117.48	0	0
117.48	0	0
117.48	0	0
117.48	0	0
117.48	0	0
117.48	0	0
117.48	0	0
117.48	0	0
117.48	0	0
117.48	0	0
117.48	0	0
117.48	0	0
117.48	0	0
117.48	0	0
117.48	0	0
117.49	0	0
117.49	0	0
117.49	0	0
117.49	0	0
117.49	0	0
117.49	0	0
117.49	0	0
117.49	0	0
117.49	0	0
117.49	0	0
117.49	0	0
117.49	0	0
117.49	0	0
117.49	0	0
117.49	0	0
117.49	0	0
117.49	0	0
117.49	0	0
117.49	0	0
117.5	0	0
117.5	0	0
117.5	0	0
117.5	0	0
117.5	0	0
117.5	0	0
117.5	0	0
117.5	0	0
117.5	0	0
117.5	0	0
117.5	0	0
117.5	0	0
117.5	0	0
117.5	0	0
117.5	0	0
117.5	0	0
117.5	0	0
117.5	0	0
117.5	0	0
117.5	0	0
117.51	0	0
117.51	0	0
117.51	0	0
117.51	0	0
117.51	0	0
117.51	0	0
117.51	0	0
117.51	0	0
117.51	0	0
117.51	0	0
117.51	0	0
117.51	0	0
117.51	0	0
117.51	0	0
117.51	0	0
117.51	0	0
117.51	0	0
117.51	0	0
117.51	0	0
117.52	0	0
117.52	0	0
117.52	0	0
117.52	0	0
117.52	0	0
117.52	0	0
117.52	0	0
117.52	0	0
117.52	0	0
117.52	0	0
117.52	0	0
117.52	0	0
117.52	0	0
117.52	0	0
117.52	0	0
117.52	0	0
117.52	0	0
117.52	0	0
117.52	0	0
117.53	0	0
117.53	0	0
117.53	0	0
117.53	0	0
117.53	0	0
117.53	0	0
117.53	0	0
117.53	0	0
117.53	0	0
117.53	0	0
117.53	0	0
117.53	0	0
117.53	0	0
117.53	0	0
117.53	0	0
117.53	0	0
117.53	0	0
117.53	0	0
117.53	0	0
117.54	0	0
117.54	0	0
117.54	0	0
117.54	0	0
117.54	0	0
117.54	0	0
117.54	0	0
117.54	0	0
117.54	0	0
117.54	0	0
117.54	0	0
117.54	0	0
117.54	0	0
117.54	0	0
117.54	0	0
117.54	0	0
117.54	0	0
117.54	0	0
117.54	0	0
117.55	0	0
117.55	0	0
117.55	0	0
117.55	0	0
117.55	0	0
117.55	0	0
117.55	0	0
117.55	0	0
117.55	0	0
117.55	0	0
117.55	0	0
117.55	0	0
117.55	0	0
117.55	0	0
117.55	0	0
117.55	0	0
117.55	0	0
117.55	0	0
117.55	0	0
117.55	0	0
117.56	0	0
117.56	0	0
117.56	0	0
117.56	0	0
117.56	0	0
117.56	0	0
117.56	0	0
117.56	0	0
117.56	0	0
117.56	0	0
117.56	0	0
117.56	0	0
117.56	0	0
117.56	0	0
117.56	0	0
117.56	0	0
117.56	0	0
117.56	0	0
117.56	0	0
117.57	0	0
117.57	0	0
117.57	0	0
117.57	0	0
117.57	0	0
117.57	0	0
117.57	0	0
117.57	0	0
117.57	0	0
117.57	0	0
117.57	0	0
117.57	0	0
117.57	0	0
117.57	0	0
117.57	0	0
117.57	0	0
117.57	0	0
117.57	0	0
117.57	0	0
117.58	0	0
117.58	0	0
117.58	0	0
117.58	0	0
117.58	0	0
117.58	0	0
117.58	0	0
117.58	0	0
117.58	0	0
117.58	0	0
117.58	0	0
117.58	0	0
117.58	0	0
117.58	0	0
117.58	0	0
117.58	0	0
117.58	0	0
117.58	0	0
117.58	0	0
117.58	0	0
117.59	0	0
117.59	0	0
117.59	0	0
117.59	0	0
117.59	0	0
117.59	0	0
117.59	0	0
117.59	0	0
117.59	0	0
117.59	0	0
117.59	0	0
117.59	0	0
117.59	0	0
117.59	0	0
117.59	0	0
117.59	0	0
117.59	0	0
117.59	0	0
117.59	0	0
117.6	0	0
117.6	0	0
117.6	0	0
117.6	0	0
117.6	0	0
117.6	0	0
117.6	0	0
117.6	0	0
117.6	0	0
117.6	0	0
117.6	0	0
117.6	0	0
117.6	0	0
117.6	0	0
117.6	0	0
117.6	0	0
117.6	0	0
117.6	0	0
117.6	0	0
117.61	0	0
117.61	0	0
117.61	0	0
117.61	0	0
117.61	0	0
117.61	0	0
117.61	0	0
117.61	0	0
117.61	0	0
117.61	0	0
117.61	0	0
117.61	0	0
117.61	0	0
117.61	0	0
117.61	0	0
117.61	0	0
117.61	0	0
117.61	0	0
117.61	0	0
117.62	0	0
117.62	0	0
117.62	0	0
117.62	0	0
117.62	0	0
117.62	0	0
117.62	0	0
117.62	0	0
117.62	0	0
117.62	0	0
117.62	0	0
117.62	0	0
117.62	0	0
117.62	0	0
117.62	0	0
117.62	0	0
117.62	0	0
117.62	0	0
117.62	0	0
117.62	0	0
117.63	0	0
117.63	0	0
117.63	0	0
117.63	0	0
117.63	0	0
117.63	0	0
117.63	0	0
117.63	0	0
117.63	0	0
117.63	0	0
117.63	0	0
117.63	0	0
117.63	0	0
117.63	0	0
117.63	0	0
117.63	0	0
117.63	0	0
117.63	0	0
117.63	0	0
117.64	0	0
117.64	0	0
117.64	0	0
117.64	0	0
117.64	0	0
117.64	0	0
117.64	0	0
117.64	0	0
117.64	0	0
117.64	0	0
117.64	0	0
117.64	0	0
117.64	0	0
117.64	0	0
117.64	0	0
117.64	0	0
117.64	0	0
117.64	0	0
117.64	0	0
117.65	0	0
117.65	0	0
117.65	0	0
117.65	0	0
117.65	0	0
117.65	0	0
117.65	0	0
117.65	0	0
117.65	0	0
117.65	0	0
117.65	0	0
117.65	0	0
117.65	0	0
117.65	0	0
117.65	0	0
117.65	0	0
117.65	0	0
117.65	0	0
117.65	0	0
117.66	0	0
117.66	0	0
117.66	0	0
117.66	0	0
117.66	0	0
117.66	0	0
117.66	0	0
117.66	0	0
117.66	0	0
117.66	0	0
117.66	0	0
117.66	0	0
117.66	0	0
117.66	0	0
117.66	0	0
117.66	0	0
117.66	0	0
117.66	0	0
117.66	0	0
117.67	0	0
117.67	0	0
117.67	0	0
117.67	0	0
117.67	0	0
117.67	0	0
117.67	0	0
117.67	0	0
117.67	0	0
117.67	0	0
117.67	0	0
117.67	0	0
117.67	0	0
117.67	0	0
117.67	0	0
117.67	0	0
117.67	0	0
117.67	0	0
117.67	0	0
117.67	0	0
117.68	0	0
117.68	0	0
117.68	0	0
117.68	0	0
117.68	0	0
117.68	0	0
117.68	0	0
117.68	0	0
117.68	0	0
117.68	0	0
117.68	0	0
117.68	0	0
117.68	0	0
117.68	0	0
117.68	0	0
117.68	0	0
117.68	0	0
117.68	0	0
117.68	0	0
117.69	0	0
117.69	0	0
117.69	0	0
117.69	0	0
117.69	0	0
117.69	0	0
117.69	0	0
117.69	0	0
117.69	0	0
117.69	0	0
117.69	0	0
117.69	0	0
117.69	0	0
117.69	0	0
117.69	0	0
117.69	0	0
117.69	0	0
117.69	0	0
117.69	0	0
117.7	0	0
117.7	0	0
117.7	0	0
117.7	0	0
117.7	0	0
117.7	0	0
117.7	0	0
117.7	0	0
117.7	0	0
117.7	0	0
117.7	0	0
117.7	0	0
117.7	0	0
117.7	0	0
117.7	0	0
117.7	0	0
117.7	0	0
117.7	0	0
117.7	0	0
117.7	0	0
117.71	0	0
117.71	0	0
117.71	0	0
117.71	0	0
117.71	0	0
117.71	0	0
117.71	0	0
117.71	0	0
117.71	0	0
117.71	0	0
117.71	0	0
117.71	0	0
117.71	0	0
117.71	0	0
117.71	0	0
117.71	0	0
117.71	0	0
117.71	0	0
117.71	0	0
117.72	0	0
117.72	0	0
117.72	0	0
117.72	0	0
117.72	0	0
117.72	0	0
117.72	0	0
117.72	0	0
117.72	0	0
117.72	0	0
117.72	0	0
117.72	0	0
117.72	0	0
117.72	0	0
117.72	0	0
117.72	0	0
117.72	0	0
117.72	0	0
117.72	0	0
117.73	0	0
117.73	0	0
117.73	0	0
117.73	0	0
117.73	0	0
117.73	0	0
117.73	0	0
117.73	0	0
117.73	0	0
117.73	0	0
117.73	0	0
117.73	0	0
117.73	0	0
117.73	0	0
117.73	0	0
117.73	0	0
117.73	0	0
117.73	0	0
117.73	0	0
117.74	0	0
117.74	0	0
117.74	0	0
117.74	0	0
117.74	0	0
117.74	0	0
117.74	0	0
117.74	0	0
117.74	0	0
117.74	0	0
117.74	0	0
117.74	0	0
117.74	0	0
117.74	0	0
117.74	0	0
117.74	0	0
117.74	0	0
117.74	0	0
117.74	0	0
117.74	0	0
117.75	0	0
117.75	0	0
117.75	0	0
117.75	0	0
117.75	0	0
117.75	0	0
117.75	0	0
117.75	0	0
117.75	0	0
117.75	0	0
117.75	0	0
117.75	0	0
117.75	0	0
117.75	0	0
117.75	0	0
117.75	0	0
117.75	0	0
117.75	0	0
117.75	0	0
117.76	0	0
117.76	0	0
117.76	0	0
117.76	0	0
117.76	0	0
117.76	0	0
117.76	0	0
117.76	0	0
117.76	0	0
117.76	0	0
117.76	0	0
117.76	0	0
117.76	0	0
117.76	0	0
117.76	0	0
117.76	0	0
117.76	0	0
117.76	0	0
117.76	0	0
117.77	0	0
117.77	0	0
117.77	0	0
117.77	0	0
117.77	0	0
117.77	0	0
117.77	0	0
117.77	0	0
117.77	0	0
117.77	0	0
117.77	0	0
117.77	0	0
117.77	0	0
117.77	0	0
117.77	0	0
117.77	0	0
117.77	0	0
117.77	0	0
117.77	0	0
117.78	0	0
117.78	0	0
117.78	0	0
117.78	0	0
117.78	0	0
117.78	0	0
117.78	0	0
117.78	0	0
117.78	0	0
117.78	0	0
117.78	0	0
117.78	0	0
117.78	0	0
117.78	0	0
117.78	0	0
117.78	0	0
117.78	0	0
117.78	0	0
117.78	0	0
117.78	0	0
117.79	0	0
117.79	0	0
117.79	0	0
117.79	0	0
117.79	0	0
117.79	0	0
117.79	0	0
117.79	0	0
117.79	0	0
117.79	0	0
117.79	0	0
117.79	0	0
117.79	0	0
117.79	0	0
117.79	0	0
117.79	0	0
117.79	0	0
117.79	0	0
117.79	0	0
117.8	0	0
117.8	0	0
117.8	0	0
117.8	0	0
117.8	0	0
117.8	0	0
117.8	0	0
117.8	0	0
117.8	0	0
117.8	0	0
117.8	0	0
117.8	0	0
117.8	0	0
117.8	0	0
117.8	0	0
117.8	0	0
117.8	0	0
117.8	0	0
117.8	0	0
117.81	0	0
117.81	0	0
117.81	0	0
117.81	0	0
117.81	0	0
117.81	0	0
117.81	0	0
117.81	0	0
117.81	0	0
117.81	0	0
117.81	0	0
117.81	0	0
117.81	0	0
117.81	0	0
117.81	0	0
117.81	0	0
117.81	0	0
117.81	0	0
117.81	0	0
117.81	0	0
117.82	0	0
117.82	0	0
117.82	0	0
117.82	0	0
117.82	0	0
117.82	0	0
117.82	0	0
117.82	0	0
117.82	0	0
117.82	0	0
117.82	0	0
117.82	0	0
117.82	0	0
117.82	0	0
117.82	0	0
117.82	0	0
117.82	0	0
117.82	0	0
117.82	0	0
117.83	0	0
117.83	0	0
117.83	0	0
117.83	0	0
117.83	0	0
117.83	0	0
117.83	0	0
117.83	0	0
117.83	0	0
117.83	0	0
117.83	0	0
117.83	0	0
117.83	0	0
117.83	0	0
117.83	0	0
117.83	0	0
117.83	0	0
117.83	0	0
117.83	0	0
117.84	0	0
117.84	0	0
117.84	0	0
117.84	0	0
117.84	0	0
117.84	0	0
117.84	0	0
117.84	0	0
117.84	0	0
117.84	0	0
117.84	0	0
117.84	0	0
117.84	0	0
117.84	0	0
117.84	0	0
117.84	0	0
117.84	0	0
117.84	0	0
117.84	0	0
117.85	0	0
117.85	0	0
117.85	0	0
117.85	0	0
117.85	0	0
117.85	0	0
117.85	0	0
117.85	0	0
117.85	0	0
117.85	0	0
117.85	0	0
117.85	0	0
117.85	0	0
117.85	0	0
117.85	0	0
117.85	0	0
117.85	0	0
117.85	0	0
117.85	0	0
117.86	0	0
117.86	0	0
117.86	0	0
117.86	0	0
117.86	0	0
117.86	0	0
117.86	0	0
117.86	0	0
117.86	0	0
117.86	0	0
117.86	0	0
117.86	0	0
117.86	0	0
117.86	0	0
117.86	0	0
117.86	0	0
117.86	0	0
117.86	0	0
117.86	0	0
117.86	0	0
117.87	0	0
117.87	0	0
117.87	0	0
117.87	0	0
117.87	0	0
117.87	0	0
117.87	0	0
117.87	0	0
117.87	0	0
117.87	0	0
117.87	0	0
117.87	0	0
117.87	0	0
117.87	0	0
117.87	0	0
117.87	0	0
117.87	0	0
117.87	0	0
117.87	0	0
117.88	0	0
117.88	0	0
117.88	0	0
117.88	0	0
117.88	0	0
117.88	0	0
117.88	0	0
117.88	0	0
117.88	0	0
117.88	0	0
117.88	0	0
117.88	0	0
117.88	0	0
117.88	0	0
117.88	0	0
117.88	0	0
117.88	0	0
117.88	0	0
117.88	0	0
117.89	0	0
117.89	0	0
117.89	0	0
117.89	0	0
117.89	0	0
117.89	0	0
117.89	0	0
117.89	0	0
117.89	0	0
117.89	0	0
117.89	0	0
117.89	0	0
117.89	0	0
117.89	0	0
117.89	0	0
117.89	0	0
117.89	0	0
117.89	0	0
117.89	0	0
117.89	0	0
117.9	0	0
117.9	0	0
117.9	0	0
117.9	0	0
117.9	0	0
117.9	0	0
117.9	0	0
117.9	0	0
117.9	0	0
117.9	0	0
117.9	0	0
117.9	0	0
117.9	0	0
117.9	0	0
117.9	0	0
117.9	0	0
117.9	0	0
117.9	0	0
117.9	0	0
117.91	0	0
117.91	0	0
117.91	0	0
117.91	0	0
117.91	0	0
117.91	0	0
117.91	0	0
117.91	0	0
117.91	0	0
117.91	0	0
117.91	0	0
117.91	0	0
117.91	0	0
117.91	0	0
117.91	0	0
117.91	0	0
117.91	0	0
117.91	0	0
117.91	0	0
117.92	0	0
117.92	0	0
117.92	0	0
117.92	0	0
117.92	0	0
117.92	0	0
117.92	0	0
117.92	0	0
117.92	0	0
117.92	0	0
117.92	0	0
117.92	0	0
117.92	0	0
117.92	0	0
117.92	0	0
117.92	0	0
117.92	0	0
117.92	0	0
117.92	0	0
117.93	0	0
117.93	0	0
117.93	0	0
117.93	0	0
117.93	0	0
117.93	0	0
117.93	0	0
117.93	0	0
117.93	0	0
117.93	0	0
117.93	0	0
117.93	0	0
117.93	0	0
117.93	0	0
117.93	0	0
117.93	0	0
117.93	0	0
117.93	0	0
117.93	0	0
117.94	0	0
117.94	0	0
117.94	0	0
117.94	0	0
117.94	0	0
117.94	0	0
117.94	0	0
117.94	0	0
117.94	0	0
117.94	0	0
117.94	0	0
117.94	0	0
117.94	0	0
117.94	0	0
117.94	0	0
117.94	0	0
117.94	0	0
117.94	0	0
117.94	0	0
117.94	0	0
117.95	0	0
117.95	0	0
117.95	0	0
117.95	0	0
117.95	0	0
117.95	0	0
117.95	0	0
117.95	0	0
117.95	0	0
117.95	0	0
117.95	0	0
117.95	0	0
117.95	0	0
117.95	0	0
117.95	0	0
117.95	0	0
117.95	0	0
117.95	0	0
117.95	0	0
117.96	0	0
117.96	0	0
117.96	0	0
117.96	0	0
117.96	0	0
117.96	0	0
117.96	0	0
117.96	0	0
117.96	0	0
117.96	0	0
117.96	0	0
117.96	0	0
117.96	0	0
117.96	0	0
117.96	0	0
117.96	0	0
117.96	0	0
117.96	0	0
117.96	0	0
117.97	0	0
117.97	0	0
117.97	0	0
117.97	0	0
117.97	0	0
117.97	0	0
117.97	0	0
117.97	0	0
117.97	0	0
117.97	0	0
117.97	0	0
117.97	0	0
117.97	0	0
117.97	0	0
117.97	0	0
117.97	0	0
117.97	0	0
117.97	0	0
117.97	0	0
117.97	0	0
117.98	0	0
117.98	0	0
117.98	0	0
117.98	0	0
117.98	0	0
117.98	0	0
117.98	0	0
117.98	0	0
117.98	0	0
117.98	0	0
117.98	0	0
117.98	0	0
117.98	0	0
117.98	0	0
117.98	0	0
117.98	0	0
117.98	0	0
117.98	0	0
117.98	0	0
117.99	0	0
117.99	0	0
117.99	0	0
117.99	0	0
117.99	0	0
117.99	0	0
117.99	0	0
117.99	0	0
117.99	0	0
117.99	0	0
117.99	0	0
117.99	0	0
117.99	0	0
117.99	0	0
117.99	0	0
117.99	0	0
117.99	0	0
117.99	0	0
117.99	0	0
118.0	0	0
118.0	0	0
118.0	0	0
118.0	0	0
118.0	0	0
118.0	0	0
118.0	0	0
118.0	0	0
118.0	0	0
118.0	0	0
118.0	0	0
118.0	0	0
118.0	0	0
118.0	0	0
118.0	0	0
118.0	0	0
118.0	0	0
118.0	0	0
118.0	0	0
118.01	0	0
118.01	0	0
118.01	0	0
118.01	0	0
118.01	0	0
118.01	0	0
118.01	0	0
118.01	0	0
118.01	0	0
118.01	0	0
118.01	0	0
118.01	0	0
118.01	0	0
118.01	0	0
118.01	0	0
118.01	0	0
118.01	0	0
118.01	0	0
118.01	0	0
118.01	0	0
118.02	0	0
118.02	0	0
118.02	0	0
118.02	0	0
118.02	0	0
118.02	0	0
118.02	0	0
118.02	0	0
118.02	0	0
118.02	0	0
118.02	0	0
118.02	0	0
118.02	0	0
118.02	0	0
118.02	0	0
118.02	0	0
118.02	0	0
118.02	0	0
118.02	0	0
118.03	0	0
118.03	0	0
118.03	0	0
118.03	0	0
118.03	0	0
118.03	0	0
118.03	0	0
118.03	0	0
118.03	0	0
118.03	0	0
118.03	0	0
118.03	0	0
118.03	0	0
118.03	0	0
118.03	0	0
118.03	0	0
118.03	0	0
118.03	0	0
118.03	0	0
118.04	0	0
118.04	0	0
118.04	0	0
118.04	0	0
118.04	0	0
118.04	0	0
118.04	0	0
118.04	0	0
118.04	0	0
118.04	0	0
118.04	0	0
118.04	0	0
118.04	0	0
118.04	0	0
118.04	0	0
118.04	0	0
118.04	0	0
118.04	0	0
118.04	0	0
118.05	0	0
118.05	0	0
118.05	0	0
118.05	0	0
118.05	0	0
118.05	0	0
118.05	0	0
118.05	0	0
118.05	0	0
118.05	0	0
118.05	0	0
118.05	0	0
118.05	0	0
118.05	0	0
118.05	0	0
118.05	0	0
118.05	0	0
118.05	0	0
118.05	0	0
118.05	0	0
118.06	0	0
118.06	0	0
118.06	0	0
118.06	0	0
118.06	0	0
118.06	0	0
118.06	0	0
118.06	0	0
118.06	0	0
118.06	0	0
118.06	0	0
118.06	0	0
118.06	0	0
118.06	0	0
118.06	0	0
118.06	0	0
118.06	0	0
118.06	0	0
118.06	0	0
118.07	0	0
118.07	0	0
118.07	0	0
118.07	0	0
118.07	0	0
118.07	0	0
118.07	0	0
118.07	0	0
118.07	0	0
118.07	0	0
118.07	0	0
118.07	0	0
118.07	0	0
118.07	0	0
118.07	0	0
118.07	0	0
118.07	0	0
118.07	0	0
118.07	0	0
118.08	0	0
118.08	0	0
118.08	0	0
118.08	0	0
118.08	0	0
118.08	0	0
118.08	0	0
118.08	0	0
118.08	0	0
118.08	0	0
118.08	0	0
118.08	0	0
118.08	0	0
118.08	0	0
118.08	0	0
118.08	0	0
118.08	0	0
118.08	0	0
118.08	0	0
118.08	0	0
118.09	0	0
118.09	0	0
118.09	0	0
118.09	0	0
118.09	0	0
118.09	0	0
118.09	0	0
118.09	0	0
118.09	0	0
118.09	0	0
118.09	0	0
118.09	0	0
118.09	0	0
118.09	0	0
118.09	0	0
118.09	0	0
118.09	0	0
118.09	0	0
118.09	0	0
118.1	0	0
118.1	0	0
118.1	0	0
118.1	0	0
118.1	0	0
118.1	0	0
118.1	0	0
118.1	0	0
118.1	0	0
118.1	0	0
118.1	0	0
118.1	0	0
118.1	0	0
118.1	0	0
118.1	0	0
118.1	0	0
118.1	0	0
118.1	0	0
118.1	0	0
118.11	0	0
118.11	0	0
118.11	0	0
118.11	0	0
118.11	0	0
118.11	0	0
118.11	0	0
118.11	0	0
118.11	0	0
118.11	0	0
118.11	0	0
118.11	0	0
118.11	0	0
118.11	0	0
118.11	0	0
118.11	0	0
118.11	0	0
118.11	0	0
118.11	0	0
118.12	0	0
118.12	0	0
118.12	0	0
118.12	0	0
118.12	0	0
118.12	0	0
118.12	0	0
